fra;strate2;jour;PourAvec;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;0;2020-06-14;1;;0;0;0;0
FR;0;2020-06-14;2;;0;0;0;0
FR;0;2020-06-15;0;0.271176359321788;0.89994791774923;0.147508019631082;11.8587507903413;0.96252707759272
FR;0;2020-06-15;1;;0;0;0;0
FR;0;2020-06-15;2;;0;0;0;0
FR;0;2020-06-16;0;0.247336679381411;0.916337697708239;0.156447899608724;11.4966856512468;0.925277577685881
FR;0;2020-06-16;1;;0;0;0;0
FR;0;2020-06-16;2;;0;0;0;0
FR;0;2020-06-17;0;0.250316639373958;0.87461825781258;0.13409819966462;11.1018409522343;0.888028077779042
FR;0;2020-06-17;1;;0;0;0;0
FR;0;2020-06-17;2;;0;0;0;0
FR;0;2020-06-18;0;0.236906819407496;0.861208437846118;0.126648299683253;10.7978850329945;0.852268557868476
FR;0;2020-06-18;1;;0;0;0;0
FR;0;2020-06-18;2;;0;0;0;0
FR;0;2020-06-19;0;0.224986979437308;0.858228477853571;0.113238479716791;10.5058489537249;0.813529077965364
FR;0;2020-06-19;1;;0;0;0;0
FR;0;2020-06-19;2;;0;0;0;0
FR;0;2020-06-20;0;0.22200701944476;0.8790881978014;0.105788579735423;10.179543334541;0.789689398024987
FR;0;2020-06-20;1;;0;0;0;0
FR;0;2020-06-20;2;;0;0;0;0
FR;0;2020-06-21;0;0.211577159470846;0.873128277816306;0.10876853972797;10.179543334541;0.78670943803244
FR;0;2020-06-21;1;;0;0;0;0
FR;0;2020-06-21;2;;0;0;0;0
FR;0;2020-06-22;0;0.187737479530469;0.859718457849844;0.104298599739149;10.2108329144627;0.795649318010081
FR;0;2020-06-22;1;;0;0;0;0
FR;0;2020-06-22;2;;0;0;0;0
FR;0;2020-06-23;0;0.187737479530469;0.83289881791692;0.0864188397838665;9.88899723526762;0.755419858110695
FR;0;2020-06-23;1;;0;0;0;0
FR;0;2020-06-23;2;;0;0;0;0
FR;0;2020-06-24;0;0.189227459526742;0.822468957943005;0.0953587197615078;9.62974071591602;0.728600218177771
FR;0;2020-06-24;1;;0;0;0;0
FR;0;2020-06-24;2;;0;0;0;0
FR;0;2020-06-25;0;0.187737479530469;0.810549117972817;0.105788579735423;9.40773369647126;0.712210438218762
FR;0;2020-06-25;1;;0;0;0;0
FR;0;2020-06-25;2;;0;0;0;0
FR;0;2020-06-26;0;0.180287579549101;0.809059137976543;0.114728459713064;9.12761745717183;0.689860738274658
FR;0;2020-06-26;1;;0;0;0;0
FR;0;2020-06-26;2;;0;0;0;0
FR;0;2020-06-27;0;0.17581763956028;0.779259538051072;0.117708419705611;8.86836093782023;0.666021058334281
FR;0;2020-06-27;1;;0;0;0;0
FR;0;2020-06-27;2;;0;0;0;0
FR;0;2020-06-28;0;0.153467939616177;0.762869758092063;0.123668339690705;8.85793107784631;0.676450918308196
FR;0;2020-06-28;1;;0;0;0;0
FR;0;2020-06-28;2;;0;0;0;0
FR;0;2020-06-29;0;0.153467939616177;0.753929878114421;0.116218439709338;8.9205102376898;0.680920858297017
FR;0;2020-06-29;1;;0;0;0;0
FR;0;2020-06-29;2;;0;0;0;0
FR;0;2020-06-30;0;0.147508019631082;0.734560138162865;0.120688379698158;8.7461825781258;0.654101218364093
FR;0;2020-06-30;1;;0;0;0;0
FR;0;2020-06-30;2;;0;0;0;0
FR;0;2020-07-01;0;0.13409819966462;0.725620258185224;0.114728459713064;8.47053627881519;0.619831678449801
FR;0;2020-07-01;1;;0;0;0;0
FR;0;2020-07-01;2;;0;0;0;0
FR;0;2020-07-02;0;0.128138279679526;0.706250518233667;0.104298599739149;8.25746913934807;0.601951918494518
FR;0;2020-07-02;1;;0;0;0;0
FR;0;2020-07-02;2;;0;0;0;0
FR;0;2020-07-03;0;0.105788579735423;0.682410838293291;0.098338679754055;8.04440199988095;0.578112238554141
FR;0;2020-07-03;1;;0;0;0;0
FR;0;2020-07-03;2;;0;0;0;0
FR;0;2020-07-04;0;0.105788579735423;0.686880778282111;0.0968486997577814;7.88199418028713;0.564702418587679
FR;0;2020-07-04;1;;0;0;0;0
FR;0;2020-07-04;2;;0;0;0;0
FR;0;2020-07-05;0;0.113238479716791;0.676450918308196;0.0893987997764136;7.87752424029831;0.572152318569047
FR;0;2020-07-05;1;;0;0;0;0
FR;0;2020-07-05;2;;0;0;0;0
FR;0;2020-07-06;0;0.114728459713064;0.680920858297017;0.0938687397652343;7.92520360017907;0.582582178542962
FR;0;2020-07-06;1;;0;0;0;0
FR;0;2020-07-06;2;;0;0;0;0
FR;0;2020-07-07;0;0.104298599739149;0.671980978319376;0.105788579735423;7.75683586060015;0.572152318569047
FR;0;2020-07-07;1;;0;0;0;0
FR;0;2020-07-07;2;;0;0;0;0
FR;0;2020-07-08;0;0.104298599739149;0.640691398397631;0.105788579735423;7.58995810101752;0.54831263862867
FR;0;2020-07-08;1;;0;0;0;0
FR;0;2020-07-08;2;;0;0;0;0
FR;0;2020-07-09;0;0.104298599739149;0.670490998323102;0.105788579735423;7.48565950127837;0.539372758651029
FR;0;2020-07-09;1;;0;0;0;0
FR;0;2020-07-09;2;;0;0;0;0
FR;0;2020-07-10;0;0.113238479716791;0.704760538237394;0.111748499720517;7.35007132161747;0.530432878673387
FR;0;2020-07-10;1;;0;0;0;0
FR;0;2020-07-10;2;;0;0;0;0
FR;0;2020-07-11;0;0.105788579735423;0.6988006182523;0.10876853972797;7.17276370206092;0.512553118718105
FR;0;2020-07-11;1;;0;0;0;0
FR;0;2020-07-11;2;;0;0;0;0
FR;0;2020-07-12;0;0.102808619742876;0.706250518233667;0.107278559731696;7.17276370206092;0.505103218736737
